disp_id;client_id;account_id;account_owner
1;1;1;True
2;2;2;True
3;3;2;False
4;4;3;True
5;5;3;False
6;6;4;True
7;7;5;True
8;8;6;True
9;9;7;True
10;10;8;True
11;11;8;False
12;12;9;True
13;13;10;True
14;14;11;True
15;15;12;True
16;16;12;False
17;17;13;True
18;18;13;False
19;19;14;True
20;20;15;True
21;21;16;True
22;22;17;True
23;23;17;False
24;24;18;True
25;25;19;True
26;26;20;True
27;27;21;True
28;28;22;True
29;29;23;True
30;30;24;True
31;31;25;True
32;32;26;True
33;33;27;True
36;36;29;True
37;37;29;False
38;38;30;True
39;39;31;True
40;40;32;True
41;41;33;True
42;42;34;True
43;43;35;True
44;44;36;True
45;45;37;True
46;46;38;True
47;47;39;True
48;48;40;True
49;49;41;True
50;50;42;True
51;51;43;True
52;52;44;True
53;53;45;True
55;55;47;True
56;56;48;True
57;57;48;False
58;58;49;True
59;59;50;True
60;60;51;True
61;61;52;True
62;62;53;True
63;63;54;True
64;64;55;True
65;65;56;True
66;66;57;True
67;67;58;True
68;68;59;True
70;70;61;True
71;71;61;False
72;72;62;True
73;73;63;True
74;74;63;False
75;75;64;True
76;76;65;True
77;77;66;True
78;78;67;True
79;79;68;True
80;80;69;True
81;81;70;True
82;82;70;False
83;83;71;True
84;84;71;False
85;85;72;True
86;86;72;False
87;87;73;True
89;89;75;True
90;90;76;True
91;91;77;True
92;92;78;True
93;93;79;True
94;94;80;True
95;95;80;False
96;96;81;True
97;97;82;True
98;98;83;True
99;99;83;False
100;100;84;True
101;101;85;True
102;102;86;True
103;103;86;False
105;105;88;True
106;106;89;True
107;107;90;True
108;108;91;True
110;110;93;True
112;112;95;True
113;113;95;False
114;114;96;True
115;115;96;False
116;116;97;True
117;117;97;False
118;118;98;True
119;119;98;False
120;120;99;True
121;121;100;True
122;122;101;True
123;123;102;True
124;124;103;True
125;125;104;True
126;126;104;False
127;127;105;True
128;128;106;True
129;129;107;True
130;130;108;True
131;131;109;True
132;132;110;True
134;134;112;True
135;135;112;False
136;136;113;True
137;137;114;True
138;138;115;True
139;139;116;True
140;140;116;False
141;141;117;True
142;142;118;True
143;143;119;True
144;144;120;True
145;145;121;True
146;146;122;True
147;147;123;True
148;148;123;False
149;149;124;True
150;150;125;True
151;151;126;True
152;152;127;True
153;153;128;True
154;154;129;True
155;155;129;False
156;156;130;True
157;157;131;True
158;158;132;True
159;159;132;False
160;160;133;True
161;161;134;True
162;162;135;True
163;163;136;True
164;164;137;True
165;165;138;True
166;166;138;False
167;167;139;True
168;168;140;True
169;169;141;True
170;170;141;False
171;171;142;True
172;172;142;False
173;173;143;True
174;174;144;True
175;175;145;True
176;176;146;True
178;178;148;True
179;179;149;True
180;180;150;True
181;181;151;True
182;182;151;False
183;183;152;True
184;184;152;False
185;185;153;True
186;186;154;True
187;187;155;True
188;188;156;True
189;189;157;True
190;190;158;True
191;191;158;False
192;192;159;True
193;193;160;True
194;194;161;True
195;195;162;True
196;196;162;False
197;197;163;True
198;198;164;True
199;199;165;True
200;200;165;False
201;201;166;True
202;202;167;True
203;203;168;True
204;204;168;False
205;205;169;True
206;206;170;True
207;207;171;True
208;208;172;True
209;209;172;False
210;210;173;True
211;211;173;False
212;212;174;True
215;215;176;True
216;216;177;True
217;217;178;True
218;218;179;True
219;219;180;True
221;221;181;True
222;222;182;True
223;223;183;True
224;224;184;True
225;225;185;True
226;226;186;True
227;227;187;True
228;228;188;True
229;229;189;True
230;230;190;True
231;231;191;True
232;232;192;True
233;233;193;True
234;234;193;False
235;235;194;True
236;236;195;True
237;237;195;False
238;238;196;True
239;239;197;True
240;240;198;True
241;241;199;True
242;242;200;True
243;243;201;True
246;246;204;True
247;247;205;True
248;248;206;True
249;249;206;False
250;250;207;True
251;251;208;True
252;252;209;True
253;253;210;True
254;254;211;True
255;255;212;True
256;256;213;True
257;257;214;True
258;258;214;False
259;259;215;True
260;260;215;False
261;261;216;True
262;262;217;True
263;263;218;True
264;264;219;True
265;265;220;True
266;266;221;True
267;267;222;True
268;268;223;True
269;269;224;True
270;270;225;True
271;271;225;False
272;272;226;True
273;273;227;True
274;274;228;True
275;275;229;True
276;276;230;True
277;277;230;False
278;278;231;True
279;279;231;False
280;280;232;True
282;282;234;True
283;283;234;False
284;284;235;True
285;285;236;True
286;286;236;False
287;287;237;True
288;288;238;True
289;289;239;True
290;290;240;True
291;291;240;False
292;292;241;True
293;293;242;True
294;294;243;True
295;295;244;True
296;296;245;True
297;297;246;True
298;298;246;False
300;300;248;True
301;301;249;True
302;302;250;True
303;303;251;True
304;304;252;True
305;305;253;True
308;308;255;True
309;309;256;True
310;310;257;True
311;311;258;True
312;312;259;True
313;313;260;True
314;314;260;False
315;315;261;True
316;316;262;True
317;317;263;True
318;318;264;True
319;319;265;True
320;320;265;False
321;321;266;True
322;322;267;True
323;323;267;False
324;324;268;True
325;325;269;True
326;326;270;True
327;327;270;False
328;328;271;True
329;329;272;True
330;330;273;True
331;331;274;True
332;332;275;True
333;333;276;True
334;334;277;True
335;335;278;True
336;336;279;True
337;337;279;False
338;338;280;True
339;339;281;True
340;340;281;False
341;341;282;True
342;342;282;False
343;343;283;True
344;344;284;True
345;345;285;True
346;346;285;False
347;347;286;True
348;348;286;False
349;349;287;True
350;350;288;True
351;351;289;True
352;352;290;True
353;353;291;True
354;354;292;True
355;355;292;False
356;356;293;True
357;357;293;False
358;358;294;True
359;359;295;True
360;360;296;True
361;361;297;True
362;362;298;True
363;363;298;False
364;364;299;True
365;365;300;True
366;366;300;False
367;367;301;True
368;368;301;False
369;369;302;True
370;370;303;True
371;371;304;True
372;372;305;True
373;373;306;True
374;374;307;True
375;375;308;True
376;376;309;True
378;378;311;True
379;379;311;False
380;380;312;True
381;381;313;True
382;382;313;False
383;383;314;True
384;384;314;False
385;385;315;True
386;386;316;True
387;387;317;True
388;388;318;True
