account.NUM_UNIQUE(transaction.trans_operation);loan_status;account.SKEW(transaction.trans_day);account.MEAN(transaction.trans_day);account.SUM(disp.client.district.MIN(account.account_year));account.MODE(disp.client.MODE(disp.type)) = DISPONENT;account.MODE(disp.client.MODE(disp.type)) = OWNER;account.SUM(disp.client.district.MEAN(client.NUM_UNIQUE(disp.type)));account.NUM_UNIQUE(disp.type);account.SUM(disp.client.district.NUM_UNIQUE(account.disp.type));account.MODE(disp.type) = DISPONENT;account.COUNT(disp);account.SUM(disp.client.district.MAX(client.COUNT(disp)));account.SUM(disp.client.district.MAX(client.NUM_UNIQUE(disp.type)));account.SUM(disp.client.district.NUM_UNIQUE(client.WEEKDAY(client_birth_number)));account.SUM(disp.client.district.NUM_UNIQUE(client.MODE(disp.type)));account.SUM(disp.client.district.MIN(client.NUM_UNIQUE(disp.type)));account.SUM(disp.client.district.MIN(client.COUNT(disp)));account.MODE(disp.type) = OWNER;account.NUM_UNIQUE(disp.client.MODE(disp.type));account.SUM(disp.client.district.MEAN(client.COUNT(disp)));account.SUM(disp.client.NUM_UNIQUE(disp.type));account.SUM(disp.client.district.MAX(account.account_year));account.SUM(disp.client.COUNT(disp));account.SUM(disp.client.district.NUM_UNIQUE(client.disp.type));account.SUM(disp.client.district.MAX(client.client_gender));account.NUM_UNIQUE(disp.client.YEAR(client_birth_number));account.NUM_UNIQUE(disp.client.DAY(client_birth_number));account.NUM_UNIQUE(disp.client.MONTH(client_birth_number));account.SUM(disp.client.district.MAX(client.client_age));account.SUM(disp.client.district.MAX(account.account_frequency));account.NUM_UNIQUE(disp.client.WEEKDAY(client_birth_number))
0.0;0;0.6550079164813097;0.6084794556398849;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078125;0.3333333333333333;0.0
0.6000000000000001;1;0.6856580089665033;0.3794110781810338;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0859375;0.3333333333333333;0.0
0.8;1;0.8108943909726527;0.2831392305679141;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0703125;0.3333333333333333;0.0
0.8;1;0.5527795417122973;0.5737764982988747;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1171875;0.3333333333333333;0.0
0.8;1;0.8675541224182132;0.46759138096484354;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078125;0.3333333333333333;0.0
0.6000000000000001;1;0.6718961039422124;0.6006281078251767;0.9999999999999999;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.9999999999999999;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
0.6000000000000001;1;0.8332448362295667;0.2173727807769792;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0625;0.3333333333333333;0.0
0.4000000000000001;0;0.6186639594062108;0.5876243130070662;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0546875;0.3333333333333333;0.0
0.4000000000000001;1;0.6176694479219319;0.5375719706883015;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0546875;0.3333333333333333;0.0
0.6000000000000001;1;0.7606429957080112;0.5725444406417972;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1171875;0.3333333333333333;0.0
